                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.93401,                 1.5787,                0.68589,                 1.0591,                0.84562,                0.87069,                0.89901,                0.66818,                 0.8423,                0.86727,                0.89283,                0.58932,                0.96292,                 1.7725,                0.68791,                 1.0793,              0.0015644,              0.0015644,              0.0015644
                     25,                0.93855,                 1.5969,                0.69357,                 1.0748,                0.84072,                0.86186,                0.89411,                 0.6698,                0.83377,                0.85569,                0.88013,                0.58386,                 0.9086,                 1.7154,                0.68757,                 1.0562,              0.0015446,              0.0015446,              0.0015446
                     26,                0.93372,                 1.6083,                0.69191,                 1.0683,                0.85433,                0.85218,                0.89919,                0.66542,                0.85844,                 0.8274,                0.87622,                0.57744,                0.93153,                 1.7455,                0.68832,                 1.0689,              0.0015248,              0.0015248,              0.0015248
                     27,                0.92346,                 1.5756,                0.69171,                 1.0732,                0.85812,                0.85844,                0.90104,                0.66867,                0.85645,                0.85161,                0.89175,                0.58537,                0.93468,                 1.7125,                0.67072,                 1.0713,               0.001505,               0.001505,               0.001505
                     28,                0.91368,                 1.5568,                0.68682,                 1.0551,                0.85759,                0.83529,                 0.8839,                0.66793,                0.85039,                0.83212,                0.86938,                0.57758,                0.89841,                 1.7358,                0.68859,                 1.0597,              0.0014852,              0.0014852,              0.0014852
                     29,                0.91698,                 1.5538,                0.66337,                 1.0616,                0.85864,                0.85075,                0.89169,                0.66208,                0.85718,                 0.8291,                0.87116,                0.56798,                0.91833,                 1.7457,                0.69629,                 1.0555,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.9241,                 1.5956,                0.67099,                 1.0604,                0.85794,                0.85531,                0.90091,                0.66819,                0.86614,                0.84705,                0.89205,                0.58674,                0.91222,                 1.6962,                0.68081,                  1.066,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.9276,                 1.5536,                0.68268,                 1.0613,                0.87071,                0.85189,                0.90328,                0.68441,                0.86756,                 0.8499,                0.89506,                0.61008,                0.92433,                   1.72,                0.66356,                 1.0553,              0.0014258,              0.0014258,              0.0014258
                     32,                0.92265,                 1.5454,                0.67765,                 1.0564,                0.85055,                0.86076,                0.89804,                0.67628,                0.84881,                0.85047,                 0.8866,                0.59019,                0.89882,                 1.7363,                0.66593,                  1.052,               0.001406,               0.001406,               0.001406
                     33,                0.89616,                 1.5099,                0.66574,                  1.051,                0.86523,                0.86308,                0.88848,                0.67167,                0.85693,                0.85332,                0.87679,                0.58095,                 0.8863,                  1.696,                0.64813,                 1.0573,              0.0013862,              0.0013862,              0.0013862
                     34,                0.89102,                 1.4902,                0.64748,                 1.0439,                0.85786,                0.86215,                0.89714,                0.66722,                0.85301,                0.84624,                0.88288,                0.58309,                0.91252,                 1.7276,                0.69073,                 1.0737,              0.0013664,              0.0013664,              0.0013664
